,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
107,9750-BOOHV,0,0,0,0,0.43661971830985913,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.11840796019900496,0.10487537502884837,0
108,8597-CWYHH,1,0,0,0,0.5915492957746479,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0.7572139303482587,0.45032310177705975,0
110,0486-HECZI,1,0,1,0,0.7605633802816901,1,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0.7810945273631841,0.6023655665820448,1
111,4549-ZDQYY,0,0,0,0,0.7183098591549296,1,0,1,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0.3950248756218906,0.34888645280406183,0
112,5712-AHQNN,0,0,0,0,0.5915492957746479,1,0,1,0.0,1.0,1.0,0.0,1.0,0.0,0,1,0,0.7303482587064677,0.45410800830833137,0
113,4846-WHAFZ,0,1,1,0,0.5070422535211268,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.5796019900497512,0.3287964458804523,1
114,5256-SKJGO,0,0,1,1,0.8873239436619719,0,0,1,0.0,1.0,0.0,1.0,1.0,1.0,2,1,0,0.3616915422885572,0.3928802215555042,0
115,3071-VBYPO,1,0,1,1,0.028169014084507043,1,0,1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0.7124378109452736,0.026494345718901455,0
116,9560-BBZXK,0,0,0,0,0.49295774647887325,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.127363184079602,0.12780406185091162,0
117,5299-RULOA,0,0,1,1,0.1267605633802817,1,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0.8159203980099502,0.12068428340641589,1
119,9445-ZUEQE,1,0,1,1,0.36619718309859156,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,0.6661691542288557,0.246111239326102,0
120,1091-SOZGA,0,0,1,1,0.7746478873239436,1,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1,1,0,0.8114427860696517,0.6342776367412878,0
122,0404-SWRVG,1,0,0,0,0.028169014084507043,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.5587064676616916,0.024319178398338335,1
123,6497-TILVL,0,0,1,1,0.08450704225352113,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.3228855721393035,0.03825871220863143,0
125,4622-YNKIJ,1,0,0,0,0.4507042253521127,1,0,1,1.0,0.0,0.0,1.0,1.0,0.0,2,1,0,0.7034825870646766,0.3472017078236787,0
126,4412-YLTKF,0,1,0,0,0.36619718309859156,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0.5950248756218905,0.24425340410800828,1
129,2639-UGMAZ,1,1,0,0,0.9859154929577465,0,0,1,1.0,1.0,0.0,0.0,1.0,1.0,1,1,0,0.3800995024875622,0.45771405492730205,0
130,2876-GZYZC,0,0,0,0,0.16901408450704225,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0.6736318407960199,0.13810870066928227,0
131,6207-WIOLX,0,0,1,1,0.3380281690140845,0,0,1,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0.4014925373134329,0.1712266328179091,1
132,8587-XYZSF,1,0,0,0,0.9295774647887324,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,2,0,0,0.3213930348258706,0.3740249249942303,0
133,3091-FYHKI,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0.1711442786069652,0.001921301638587584,1
134,2372-HWUHI,1,0,0,0,0.014084507042253521,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.25970149253731345,0.007206323563351027,1
136,7850-VWJUU,0,0,0,0,0.30985915492957744,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.5646766169154229,0.20305792753288715,0
139,0390-DCFDQ,0,1,1,0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.5194029850746269,0.005960073851834757,1
140,3146-MSEGF,0,1,1,1,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,1,0,0.6945273631840796,0.7393087929840756,0
141,4080-OGPJL,0,0,0,0,0.09859154929577464,1,1,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0.5263681592039802,0.06287214401107778,1
142,1095-WGNGG,0,0,1,0,0.8450704225352113,1,1,1,0.0,1.0,0.0,0.0,1.0,1.0,2,1,0,0.8238805970149253,0.6868739903069466,0
143,2636-SJDOU,1,0,0,0,0.8873239436619719,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0.6572139303482587,0.608152550196169,0
145,5716-EZXZN,0,0,1,1,0.9014084507042254,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0,2,1,0,0.8039800995024875,0.7382760212324024,0
147,2135-RXIHG,1,0,0,0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.272636815920398,0.0030983152550196165,1
148,6440-DKQGE,1,0,0,1,0.4084507042253521,1,0,1,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0.4601990049751244,0.2205342718670667,0
149,3466-BYAVD,1,0,1,1,0.19718309859154928,1,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0,1,1,0.5099502487562189,0.12146318947611356,0
150,3780-YVMFA,0,0,1,1,0.09859154929577464,1,0,1,0.0,0.0,0.0,1.0,1.0,1.0,0,1,0,0.5004975124378109,0.06295291945534273,0
151,3874-EQOEP,1,0,0,0,0.08450704225352113,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1,0.763681592039801,0.07347103623355643,1
152,1679-JRFBR,0,0,1,1,0.971830985915493,1,1,1,1.0,1.0,1.0,0.0,1.0,1.0,1,1,0,0.8945273631840797,0.9129644588045234,0
153,9073-ZZIAY,1,0,1,1,0.8591549295774648,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0.6751243781094527,0.5996365105008077,0
155,6551-GNYDG,0,0,1,1,0.18309859154929578,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0.6233830845771144,0.1308562197092084,0
156,9167-APMXZ,0,0,0,0,0.29577464788732394,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0.6557213930348259,0.208071774751904,0
158,6371-NZYEG,1,0,1,1,0.2112676056338028,1,0,1,1.0,0.0,1.0,0.0,1.0,0.0,2,0,1,0.4577114427860697,0.11599353796445881,0
160,8992-VONJD,0,0,0,1,0.16901408450704225,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.3756218905472637,0.08605469651511655,0
161,0867-MKZVY,0,0,1,0,0.2676056338028169,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.6383084577114428,0.18157742903300253,1
162,4482-EWFMI,0,0,0,0,0.014084507042253521,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.5119402985074627,0.013431802446342025,0
163,4648-YPBTM,1,0,0,0,0.7323943661971831,1,1,1,0.0,1.0,1.0,1.0,0.0,1.0,2,1,0,0.5537313432835822,0.4545868912993307,0
166,3376-BMGFE,0,0,0,0,0.04225352112676056,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.5238805970149254,0.02933302561735518,1
167,5997-OPVFA,1,0,1,0,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,1,0,0.7044776119402985,0.7195534271867067,0
168,3445-HXXGF,1,1,1,0,0.8028169014084507,0,0,1,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0.2691542288557214,0.30376182783291017,1
170,7654-YWJUF,1,0,1,0,0.5915492957746479,1,0,1,1.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0.6567164179104478,0.4062370182321717,0
171,1875-QIVME,0,0,1,0,0.014084507042253521,1,1,1,0.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0.8572139303482588,0.025848142164781908,1
172,6727-IOTLZ,1,0,1,0,0.18309859154929578,1,0,1,0.0,1.0,1.0,1.0,1.0,1.0,2,0,1,0.6338308457711443,0.13419686129702285,0
173,0691-JVSYA,0,0,1,0,0.7323943661971831,1,0,1,0.0,0.0,1.0,0.0,1.0,1.0,1,1,0,0.7621890547263681,0.574821140087699,1
176,2656-FMOKZ,0,1,0,0,0.19718309859154928,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.5592039800995026,0.13003692591737828,1
177,2070-FNEXE,0,1,0,0,0.08450704225352113,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5791044776119403,0.0559427648280637,1
178,5947-SGKCL,0,0,1,1,0.19718309859154928,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0.8666666666666666,0.1777579044541888,0
180,6317-YPKDH,0,0,0,0,0.0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.11641791044776119,0.0012866374336487421,1
181,6582-OIVSP,0,0,0,0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.2691542288557214,0.0030579275328871448,0
182,9367-WXLCH,1,0,0,0,0.09859154929577464,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.6592039800995025,0.07429609969997693,1
183,5524-KHNJP,1,0,1,1,0.4507042253521127,1,0,1,1.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.5621890547263682,0.2809254558042926,0
184,1918-ZBFQJ,0,0,0,0,0.16901408450704225,1,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0,1,0,0.6069651741293532,0.1261077775213478,1
185,1024-GUALD,0,0,1,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.06517412935323384,0.0006923609508423724,1
186,4827-USJHP,1,0,0,0,0.2676056338028169,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0.33383084577114425,0.11597622894068775,0
187,8167-GJLRN,1,0,0,0,0.028169014084507043,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.12089552238805969,0.0073101777059773835,0
189,8017-UVSZU,0,0,1,0,0.5492957746478874,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.38159203980099504,0.2723632587122086,0
190,7100-FQPRV,1,0,1,1,0.5915492957746479,1,1,1,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0,0.5338308457711444,0.36401453957996766,0
191,2472-OVKUP,1,0,1,0,0.07042253521126761,1,0,1,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0.7238805970149254,0.0591045465035772,1
193,9680-NIAUV,0,0,1,1,1.0,1,1,1,1.0,1.0,1.0,0.0,1.0,1.0,2,0,0,0.9099502487562189,0.935898915301177,0
195,2604-IJPDU,0,0,1,0,0.2676056338028169,1,0,1,1.0,1.0,0.0,1.0,1.0,0.0,0,1,0,0.7791044776119402,0.21726863604892685,0
197,6168-YBYNP,1,0,0,0,0.8169014084507042,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0.9263681592039801,0.7501673205631202,0
198,7255-SSFBC,1,0,1,1,1.0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,2,1,0,0.9353233830845771,0.9257846757442879,0
200,9323-HGFWY,0,0,1,0,0.36619718309859156,1,0,1,1.0,0.0,0.0,1.0,1.0,1.0,1,1,0,0.8323383084577115,0.3072178629125317,0
201,8544-GOQSH,0,0,0,0,0.18309859154929578,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,0.6149253731343284,0.1261827832910224,0
202,3363-DTIVD,1,0,1,1,0.9859154929577465,1,1,1,1.0,0.0,1.0,0.0,1.0,1.0,2,0,0,0.8686567164179104,0.8523771059312255,0
203,7018-WBJNK,1,0,0,1,0.16901408450704225,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0.5975124378109452,0.11714170320793908,0
204,9142-KZXOP,1,0,0,0,0.6056338028169014,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5034825870646765,0.33927417493653356,0
205,7674-YTAFD,0,0,0,0,0.4507042253521127,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0.6139303482587065,0.30764481883221784,0
206,6348-SNFUS,1,0,1,1,1.0,0,0,1,1.0,1.0,1.0,1.0,0.0,1.0,2,1,0,0.37014925373134333,0.48008308331410104,0
207,1285-OKIPP,1,0,0,0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.6134328358208956,0.0070505423494114944,1
